selisih_transaksi,maksimum_nilai_transaksi,time_seconds,flag_transaksi_fraud
867707.216,9750000.0,70795,0
1130952.381,10000000.0,27100,1
14323460.4,100000000.0,50536,0
391764.70589999994,6884408.0,57077,0
467968.25399999996,2500000.0,52419,0
174230.76919999998,1300000.0,69393,0
326051.4550000001,40000000.0,42958,0
242400.0,4320000.0,52022,0
701248.5876,3550000.0,63644,0
260692.85710000002,28000000.0,77825,0
943288.592,8240000.0,63499,0
118238.7890000001,5300000.0,57992,0
875198.5390000001,10000000.0,78806,0
1670605.2308,2800000.0,62856,0
2342616.102,14000000.0,53714,0
493103.4480000001,4000000.0,43080,0
178037.53300000005,2700000.0,59432,1
8514.713100000052,1500000.0,61838,0
901938.3369999998,23650000.0,35157,0
335123.6111,18000000.0,42654,0
280711.30429999996,3970000.0,55564,0
302270.97829999996,800000.0,33090,1
303631.45629999996,3500000.0,42719,1
5620280.988,75000000.0,53976,0
839841.2186,46500000.0,60120,0
297527.6471,2000000.0,37455,0
113037.34399999998,2262700.0,59751,0
154296.0526,2000000.0,23134,0
2309907.0760000004,27500000.0,49125,0
1500000.0,3461000.0,41042,0
493006.9444,2000000.0,65183,0
256328.59000000008,12025000.0,68477,0
106285.90279999998,1000000.0,44385,0
1681269.419,10000000.0,43172,0
241861.1229999999,10000000.0,50963,0
6793525.857000001,75000000.0,38729,0
412398.9636,4250000.0,66176,0
964807.23,2500000.0,59693,0
147822.93939999997,2000000.0,44735,0
756260.176,50000000.0,23859,0
66480.5321,2200000.0,55047,0
269760.99340000004,7500000.0,62826,0
33574.46799999999,9726005.0,31844,0
6615017.746,10000000.0,52333,0
419940.3913,10000000.0,44559,0
47425.0,1000000.0,76359,0
731508.142,6839000.0,51055,0
196829.08769999997,1850000.0,62979,0
2764636.0660000006,75000000.0,74008,0
193326.42859999998,1400000.0,32134,0
444984.29150000005,18139977.0,33068,1
245886.0465,4500000.0,82522,0
356741.4262,5000000.0,61865,0
459022.2222,2700000.0,45359,0
9460356.8529,1700000.0,52313,1
422472.8354,6068232.0,25243,0
1619414.9452,2500000.0,48319,0
198717.9487,4900000.0,83889,0
3959297.7210000004,15000000.0,48521,0
863109.7579999999,2500000.0,66242,0
105133.8198,2250000.0,74761,0
709825.9468,7309308.0,75016,0
197818.65379999997,12500000.0,54232,1
548148.1481,3691500.0,27677,0
368828.6585,2700000.0,33416,0
266646.3947,2500000.0,64333,0
744103.4571,5000000.0,23371,1
950408.5329999999,5000000.0,45849,0
594297.2480000001,7845000.0,44397,0
273606.25,3691500.0,65958,0
1257807.6919999998,10000000.0,40100,0
1155000.0,6666184.0,41456,0
1255595.0119,1000000.0,48017,1
220156.92590000003,5100000.0,70346,0
963109.7579999999,10000000.0,46452,0
790615.226,15000000.0,58451,0
190428.5700000003,25000000.0,60020,0
32478.421700000006,1000000.0,50765,0
880452.0,2500000.0,34758,0
1191211.811,5899300.0,67276,0
2116283.563,18800000.0,62360,0
801076.7296,38500000.0,79536,0
1325075.758,5000000.0,62842,0
233839.62599999993,8000000.0,63976,0
84713.50300000003,6575000.0,30929,0
30285.325999999885,20000000.0,47839,0
135419.9879999999,3000000.0,38495,0
332455.3333,1000000.0,22161,0
35049.58679999999,4800000.0,67738,0
177350.0,1500000.0,40778,0
1581245.5410000002,14000000.0,45359,0
51989.71310000005,4885000.0,45933,0
1483053.596,49238000.0,27774,0
985373.2280000001,2500000.0,67872,0
1857568.312,30000000.0,20551,0
2229787.081,40000000.0,25885,0
199238.09519999998,1000000.0,50964,0
172286.9752,2500000.0,44940,0
38333.332999999984,2500000.0,38511,0
15903322.368,30000000.0,69158,0
