X,id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,flag_transaksi_finansial,status_transaksi,bank_pemilik_kartu,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi,flag_transaksi_fraud
788,2457419,2457507,111,-2,1798,-3,156,12,2500000.0,96,5,121,1264,2196,73140,2,1,5,8,False,3,999,1369047.619,10000000.0,30000.0,2.33,1
3438,2457344,2457385,111,-2,1798,-3,156,12,1300000.0,96,5,229,80,223,163032,3,1,5,8,False,3,999,1121962.467,2700000.0,19896.0,2.37,1
5508,2457555,2457614,104,-2,1798,2141266,238,9,500000.0,96,5,128,5546,613,91130,2,2,1,9,False,3,999,197729.0217,800000.0,30000.0,2.21,1
9188,2457445,2457539,111,-2,1798,1531787,385,11,300000.0,96,5,265,1665,613,115159,2,2,1,9,False,3,999,603631.4563,3500000.0,20900.0,2.15,1
5358,2457414,2457461,0,-2,1798,-3,156,12,100000.0,96,5,8,66,173,91108,2,1,5,8,False,3,999,544984.2915,18139977.0,26500.0,3.23,1
6120,2457529,2457606,103,-2,1798,2018536,301,16,10000000.0,96,5,256,2795,613,143153,3,2,1,9,False,3,999,539643.1471,1700000.0,48900.0,1.45,1
9534,2457632,2457721,5,-2,1798,-3,156,12,500000.0,96,5,75,678,536,150352,3,1,5,8,False,3,999,697818.6538,12500000.0,28500.0,1.6,1
7211,2457359,2457406,111,-2,1798,2305366,301,16,49863.0,96,5,114,3434,613,62931,2,2,1,9,False,3,999,793966.4571,5000000.0,11000.0,1.5,1
1734,2457547,2457623,103,-2,1798,1595854,301,16,1481000.0,96,5,70,1837,613,132017,3,2,1,9,False,3,999,225404.9881,1000000.0,26500.0,1.32,1
13237,2457517,2457611,93,-2,1798,-3,156,12,2500000.0,96,5,214,870,2408,3920,1,1,5,8,False,3,999,5532031.381,40000000.0,62769.0,3.0,1
