selisih_transaksi,maksimum_nilai_transaksi,time_seconds,flag_transaksi_fraud
3507283.49,50000000.0,66864,0
2306585.8260000004,24504480.0,42342,1
178967.14300000016,9550000.0,50585,0
1978103.504,10000000.0,52713,0
484416.0329,4700000.0,77073,0
76541.17599999998,7000000.0,37462,0
486683.869,25000000.0,67822,0
925859.5669999998,30575000.0,83527,0
208459.3023,9000000.0,60081,0
10060052.63,98000000.0,76472,0
831918.6321,1550000.0,58087,0
1153066.176,25000000.0,37661,0
813812.7778,9400000.0,36639,0
494390.8511,6500000.0,65291,0
1285375.298,7780612.0,47336,1
6587689.375,6711000.0,58844,0
628470.333,14905000.0,65309,1
645921.611,23295000.0,79655,0
576504.367,15000000.0,48551,0
766010.2479999998,14840000.0,76699,0
343436.726,3950000.0,62223,0
207305.8095,1000000.0,65123,0
275651.2195,2699000.0,28020,0
2370434.23,50000000.0,33934,0
288235.294,15000000.0,10963,0
1116285.7140000002,30000000.0,48639,0
596760.9934,7000000.0,66793,0
247999.8387,2500000.0,46502,0
655063.1579999999,15000000.0,46205,0
1208215.892,10000000.0,48751,0
278260.8696,2000000.0,49618,0
65689.35560000001,1500000.0,82826,0
1703184.914,9100000.0,36700,1
731213.2930000002,11600000.0,42216,0
14730.357000000076,2500000.0,28267,1
593312.6061,10260000.0,47064,0
1005702.752,2500000.0,38004,0
963109.758,2500000.0,30623,0
109821.429,15000000.0,73529,1
908657.653,2500000.0,48156,0
45953.25,1500000.0,51597,0
399982.8547,2000000.0,51163,0
241609.19500000012,2500000.0,48606,0
4057929.167,15000000.0,44793,0
186616.3005,800000.0,54956,0
219100.0,1500000.0,46767,0
1011278.673,10000000.0,52736,0
634018.29,6000000.0,26805,1
3419686.975,5000000.0,62513,0
93814.5830000001,10000000.0,56427,1
214810.45900000003,5000000.0,80241,0
8734404.099,7000000.0,55570,0
1810004.254,7500000.0,72440,0
279149.2187,5000000.0,21590,0
491447.5116,2958000.0,51981,0
210009.333,2880000.0,54858,1
388775.81480000005,5037000.0,70981,0
113473.963,5500000.0,47434,1
203184.387,9000000.0,84600,0
704483.2270000001,16500000.0,46903,0
776637.6470000001,10000000.0,69261,0
1392190.2880000002,10000000.0,69748,0
1146677.632,30000000.0,34190,0
383151.3125,10000000.0,61540,0
109119.61820000004,500000.0,52110,0
1427956.989,50000000.0,25672,0
445178.672,10100000.0,58874,0
208520.71599999987,7000000.0,30738,0
885791.0159999998,7500000.0,29290,0
312627.20900000003,2000000.0,56751,0
318081.3679,5000000.0,40428,0
411764.7059,6500000.0,82529,0
898584.3137,3000000.0,72309,0
2224347.7410000004,18640000.0,54353,0
146550.53800000018,9550000.0,52242,0
389643.1471,4250000.0,66597,0
225701.031,3300000.0,29684,0
3375077.842,60000000.0,48650,0
50704.1385,1686001.0,35097,0
439955.0449999999,13500000.0,69616,0
2425077.842,69900000.0,73820,0
224683.4304,1000000.0,30950,0
271813.5922,2500000.0,25088,0
2058846.981,20000000.0,40775,1
1833428.819,17000000.0,45046,0
1540132.633,18336000.0,50057,0
259560.84750000003,5000000.0,69968,0
1363664.54,20000000.0,36360,0
575784.0,15000000.0,67888,0
821585.7143,6800000.0,71374,0
33879.098,10000000.0,47629,0
2792222.209,48800000.0,62995,0
426594.2857,1400000.0,60460,0
133333.3333,500000.0,55790,0
11271.641799999983,1250000.0,57996,0
138235.294,10000000.0,54380,0
593421.0526,10260000.0,67168,0
238785.1154,5000000.0,46889,0
2113236.6210000003,14000000.0,42236,1
867234.848,10000000.0,64334,0
585563.291,20000000.0,59651,0
690343.1240000001,10000000.0,74693,0
1541218.8235,13400000.0,63548,0
49640.76920000001,1000000.0,69855,0
578000.1635,10000000.0,63208,0
418905.1724,9000000.0,54544,0
24205.08470000001,800000.0,77699,0
151470.58800000022,5000000.0,80522,0
225468.9783,1150000.0,44484,0
852500.0,5000000.0,53135,0
553322.368,4480000.0,48433,1
138428.65850000002,1688000.0,67168,0
53742.5918,1000000.0,30021,0
232228.88099999996,2500000.0,29095,1
177350.0,1500000.0,40778,0
468782.1455,5000000.0,86354,0
651209.3806,7000000.0,66049,0
391049.9143,2500000.0,25384,0
1163516.529,23087500.0,39837,0
56447.91669999994,4800000.0,50742,0
4214000.0,75000000.0,67665,0
1659366.711,5000000.0,48842,0
304083.3333000001,3000000.0,35730,0
2502804.19,70000000.0,60575,0
711680.2115,10000000.0,53448,0
282605.23529999994,3000000.0,79169,0
30972.977799999997,2500000.0,25316,0
531569.051,11440017.0,29805,1
284929.3321,10000000.0,83403,0
1217051.456,20000000.0,51125,0
1005134.875,1200000.0,43369,1
3102679.8989999997,18000000.0,38376,0
936270.7059999999,7480000.0,50721,0
682520.325,30575000.0,68224,0
621873.0040000001,10000000.0,75467,0
994556.9259,10000000.0,70732,0
3780863.5510000004,75000000.0,25160,1
930529.8364,4200000.0,60650,0
1200598.142,35209800.0,41683,0
221444.9574,6341138.0,30953,0
657467.777,10000000.0,75036,0
260182.0555,7000000.0,30937,0
195555.5556,1600000.0,56963,0
758558.3940000002,85000000.0,44105,1
1024137.931,20000000.0,67498,0
111770.56449999998,1000000.0,52527,0
318271.9298,1000000.0,55502,0
156389.4583,1200000.0,47365,0
310182.0555,5800000.0,56383,0
286929.0,10000000.0,32418,0
630681.8182,5000000.0,39762,0
364799.5419999999,24800000.0,23591,0
206640.585,6700000.0,57889,0
